school_code,category,state,lga,school_name,town,location,school_level,year,set_name,ward,prefix,state_clean,lga_clean,ward_clean,match_type
7010036,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OGBILOLO AGILA,OGBILOLO AGILA,RURAL,PRIMARY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010037,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UDEBO OJENYO,UDEBO-OJENYO,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010038,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UJOL OJENYO,UTONKON,RURAL,PRIMARY ONLY,1978,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010041,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL AKANA IGUMALE,AKANAIGUMALE,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010042,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ALOMO EKILE,ALOMO-EKILE,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010043,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ALOMO-RIJO UTONKON,ALOMO RIJO,RURAL,ECCDE ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010044,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ANEACHENG UTONKON,ANEACHENG,RURAL,PRIMARY ONLY,2000,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010050,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL EBO,AGILA,RURAL,PRIMARY ONLY,1990,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010051,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL EFUELO,EFUELO UTONKON,RURAL,PRIMARY ONLY,1993,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010052,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL EGUEDE,EGUEDE - EKILE,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010056,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ETENYI,ETENYIIGUMALE,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010057,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IDANE,IDANE IGBA UTONKON ,URBAN,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010058,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IGUMALE IBOM,IBOMIGUMALE,RURAL,PRIMARY ONLY,1996,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010059,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL III APA,APA  AGILA,RURAL,PRIMARY,2014,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010062,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IJIGBAN ODOKA,OJA-ODOKA EKILE,RURAL,PRIMARY ONLY,2006,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010064,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IKARA WATUOLO UTONKON,IKARA - WATUOLO,RURAL,PRIMARY ONLY,2002,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010067,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ITSEWU,NDIDENYI   IJIGBAN,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010068,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IYOMA,IYOMA,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010069,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL NDIGBAROSO,NDIGBAROSO IJIGBAN,RURAL,PRIMARY ONLY,1955,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010070,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL NDIGWE,NDIGWE,RURAL,PRIMARY ONLY,1957,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010071,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL NDUOBASHI,NDUOBASHI-EKILE IJIGBAN,RURAL,PRIMARY ONLY,1970,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010073,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL NSURA IJIGBAN,NSURA IJIGBAN,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010074,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OBAKOTO,OBAKOTO,RURAL,PRIMARY ONLY,1983,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010075,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ODIREWU,ODIREWU,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010076,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ODOKEM,ODOKEM-EKILE,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010078,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OGBOKWU,AGILA,RURAL,PRIMARY ONLY,1992,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010079,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OGBOLOKUTA,OGBOLOKWUTA-ULAYI,RURAL,PRIMARY ONLY,1952,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010080,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OGEBE,OGEBE,RURAL,PRIMARY ONLY,1950,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010082,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OGWAFIYE,OGWAFIYE-IJIGBAN,RURAL,PRIMARY,2008,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010083,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OJA-ALA,OJA- ALA  AGILA,RURAL,PRIMARY ONLY,1952,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010085,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OJIJE,UTONKON,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010087,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OKPEJE,OKPEJE,RURAL,PRIMARY ONLY,2000,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010090,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OKWASI RIJO,OKWASI RIJO,RURAL,PRIMARY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010091,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OLE OKIBE,APA-AGILA,RURAL,PRIMARY ONLY,1984,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010092,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL OLE UKPO,OLE-UKPO,RURAL,PRIMARY,1975,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010094,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ONUEBOR,ONUEBOR  IJIGBAN,RURAL,PRIMARY ONLY,1965,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010095,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ONYENE,ONYENE,RURAL,PRIMARY ONLY,1975,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010098,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UDEBO,UDEBO- UKWONYO,RURAL,PRIMARY ONLY,1975,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010100,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UGWUGWEWU,EGWUGWEWU,RURAL,PRIMARY ONLY,1959,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010103,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UNENYIM,UNENYIM-IGBA,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010104,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UNWEJE IGBAN,UNWEJE IGBA,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010105,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UNWEJE RIJO,UNWEJE,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010106,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL UTONKON CAMP,UTONKON,RURAL,PRIMARY,1934,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010108,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL WATUOLO CENTRE,OGEDEGI WATUOLO UTONKON,RURAL,PRIMARY ONLY,1958,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010109,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL WURECHI,WURECHI OJENYO,RURAL,PRIMARY ONLY,1965,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010110,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOLII APA AGILA,APA-AGILA,RURAL,PRIMARY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010117,PRIVATE,BENUE,ADO,SAVIOUR BRAINFIELD ACADEMY APA- AGILA,APA- AGILA,RURAL,PRIMARY,2013,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010118,PRIVATE,BENUE,ADO,SHALOM NURSERY AND PRIMARY SCHOOL,UTONKON,RURAL,PRIMARY,2012,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010118,PRIVATE,BENUE,ADO,SHALOM NURSERY AND PRIMARY SCHOOL,UTONKON,RURAL,PRIMARY,2012,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010121,PUBLIC,BENUE,ADO,ST PAULS LGEA SPECIAL PRIMARY SCHOOL UTONKON DISTRICT,UKWONYO- UTONKON,RURAL,PRIMARY,1925,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010125,PUBLIC,BENUE,ADO,LGEA Primary School Atalogo Ekile,ATALOGA,RURAL,PRIMARY ONLY,1965,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010139,PUBLIC,BENUE,ADO,LEGA PRIMARY SCHOOL UDEBO IGBA,UDEBO-IGBA UTONKON,RURAL,PRIMARY ONLY,2009,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010141,PRIVATE,BENUE,ADO,UNITY ACADEMY NURSERY PRIMARY AND SECONDARY SCHOOL ONUEBOR,ONUEBOR NOME IJIGBAN,RURAL,PRIMARY,2009,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
7010152,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL,"ADO OKPAKO IBOM, AGILA",URBAN,PRIMARY ONLY,1973,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unknown_fallback
